keyWord,frequency
定定,696
小泉,263
断粮,126
求肉,121
洗货,119
老胖,83
黄蓝红青,74
久念,71
推油,69
化合,56
溜片,55
疑者,54
信者,54
rush,50
钓鱼人,49
商银,45
飞仔,44
有骚,44
那时花开,43
上好,43
帅痞,42
小青年,41
红运,40
自插,40
红运当头,40
意兴,38
猛攻,37
溜冰,37
找客,36
片王,35
定定定,33
骚耐,31
肉纯货,31
戒毒,31
地骚,30
自封袋,30
纯一,30
似水,30
御龙阁,28
式样,28
lomo,27
大攻,26
壮实,26
老客,26
黄货,26
耐骚,25
浩翔,25
火机,24
需打,24
黄蓝,24
晨跑,24
肉果,24
一片冰心,23
猛一,23
阿丹,23
螺聊,23
过夜,22
狠货,22
qpwang,21
绿奴,21
帅骚,21
陆战队,21
海军陆战队,21
娇子,21
龙飞,21
臀骚,21
冰妹,20
九头鸟,20
XeqtR,20
sjwwlove,20
缅果,20
提素,20
岔,19
不装怪,19
云换片,19
一约,19
体推,19
毒品,19
骚冰,18
帝爵,18
人约,18
商请,18
找大一,18
康泰克,17
康泰,17
互操,17
火星人,17
大壹,17
小帅,17
胖壮,17
心诚,16
呋麻,16
骗货,16
骗肉,16
烎,16
放得开,16
科比,16
操骚,16
梁家,15
假币,15
