keyWord,frequency
手狗,445
左轮,356
弓弩,325
防管,294
整秃,273
小嘴,270
手拉鸡,250
瞄收,207
浇筑,196
外拍,190
气火,171
JASON,165
非开,165
信拓,159
整兔,157
消音器,154
货加,154
沙鹰,151
单猎,150
出六,145
小口栓,139
回压消,136
VVWWWCOM,136
夜视仪,134
雄鹰,133
黑货,132
格鲁,130
改火,130
猛将,126
握把,126
獾,122
单双猎,119
记名,118
猎狗,115
铅弹,112
不压单,112
霍克,109
狠货,108
蛋轮,108
射钉,104
gzgx,104
出秃套,104
进给,102
健卫,102
韦佛,100
火药,98
双猎,93
插翅,93
套招,86
小罐,84
四变点,83
发瓶,83
鲁普,82
令有,82
甩棍,81
栓,80
货私,80
野猫,79
各火,78
付先款,78
粮铜壳,78
管招,78
答群里,77
工字,77
群交,74
电鱼,74
出二,74
猎枪,73
九哥,73
月牙,72
气狗,71
小灌管,70
备着,68
A-ED,68
元货,68
火粮,67
plm,66
射单,66
出一,65
雷明顿,64
十下,63
狂招,63
胶托,62
出秃,61
技术交流,61
绿皮,61
仿美,61
蟋蟀,61
毛瑟管,60
瞄瓶阀,58
套间,57
狂吼,57
猎,56
气枪,56
精确度,55
冥王,55
瞄消,54
细支,54
蛋形,54
韩倩倩,54
