keyWord,frequency
黑货,2934
跳登,2717
单密,2402
JCB,2325
联系业务,2318
发器,2294
VISA,2255
垠,1870
新库,1771
本卡,1418
身分,1377
直登,1372
身分证,1361
直照,1360
工章,1360
测活,1312
复制器,1283
TW,1263
免杀,1252
UK,1232
话术,1223
直刷,1217
可给,1195
PASS,1179
微信料,1121
加拿,1113
白卡,1102
FR,1087
包鲜,1087
糖尿,1035
烫金机,1014
打字机,1003
改号,955
MasterCard,919
Cvv,890
Pass,878
WZ,878
澳大利,869
刷货,864
骗保,842
单币,842
马子,780
有藏,699
商银,643
带圈,639
复购,630
鱼网,617
刷货及,610
爆库,590
强离,584
高性,563
行卡,549
三株,540
高质,534
卡密查,526
务器,513
挑卡头,512
教洗,508
防黑,505
黑一,505
III,505
msr,500
七折,488
心脑,462
藏品,457
xiaobawang,430
看爹,426
大灰狼,426
灰狼,426
zcs,421
出微信,401
整版,394
取号,393
罗斯,376
发放贷款,376
偏门,368
风飞沙,364
新思路,355
BNB,334
亚马,334
料主来,332
活料,310
加油卡,310
脑血管,304
套利,296
ddos,293
转呼料,289
废狗,286
民等,273
蜂胶,270
heikejidiaoyuwang,269
百起,267
卓朗,260
裸号,258
改单,252
欧米,251
可套,250
卡面,240
伽,232
隐门,232
