B040002,I050003,Z118017,Z118018,Z118013,B050013
156434703,9002,False,False,0.9912,1517316489
857032099,9002,False,False,0.9692,1517377669
1056681819,9002,False,False,0.9692,1517300011
453687542,9002,False,False,0.908,1517358146
1148047734,9002,False,False,0.9063,1517303713
676947285,9002,False,False,0.8705,1517370396
751743718,9002,False,False,0.6488,1517373211
228196594,9002,False,False,0.6236,1517327177
2535930205,9001,False,False,0.5998,1517315259
2765441559,9001,False,False,0.599,1517318214
1145209664,9002,False,False,0.598,1517303385
317748233,9003,False,False,0.594,1517336468
793212370,1700,False,False,0.5923,1517313568
844040043,9002,False,False,0.5914,1517376947
792636029,9001,False,False,0.5905,1517341564
1559231475,9001,False,False,0.5894,1517306062
1255451099,9001,False,False,0.5888,1517302380
476811627,9002,False,False,0.5866,1517359683
286945233,9001,False,False,0.5858,1517320281
244621288,9001,False,False,0.5828,1517313860
632809032,9001,False,False,0.578,1517337170
763876865,9001,False,False,0.573,1517340280
1062186473,9003,False,False,0.573,1517299625
2567296620,9003,False,False,0.5726,1517325905
2360565144,9002,False,False,0.5713,1517328731
969241471,1700,False,False,0.5691,1517315138
182302288,9003,False,False,0.5645,1517315138
1586594098,9002,False,False,0.5564,1517317023
941494590,9001,False,False,0.5562,1517346292
274222861,9003,False,False,0.555,1517329170
8406149,9002,False,False,0.547,1517376595
646676940,9002,False,False,0.5406,1517369461
1042366686,9001,False,False,0.5253,1517298415
1161409774,9002,False,False,0.5178,1517304596
378718322,9002,False,False,0.5137,1517352719
2415012525,1700,False,False,0.5112,1517305216
414377056,9002,False,False,0.5085,1517355589
2372509776,9003,False,False,0.4944,1517322621
4331524,9003,False,False,0.4773,1517345638
1994848471,9003,False,False,0.4645,1517317382
2094694314,9003,False,False,0.4604,1517319299
380962887,9002,False,False,0.4595,1517353543
503885356,9002,False,False,0.4518,1517362101
782367107,9003,False,False,0.4279,1517358896
365190707,9003,False,False,0.4229,1517341298
2783396617,9002,False,False,0.4224,1517338678
1434477522,9002,False,False,0.4181,1517313113
448337814,9002,False,False,0.4138,1517357417
563570785,9003,False,False,0.389,1517351622
598078345,9002,False,False,0.3884,1517366868
1303961274,9002,False,False,0.3678,1517309672
924937175,9003,False,False,0.3604,1517366647
252063935,9002,False,False,0.355,1517331820
657805211,9001,False,False,0.3544,1517338052
480934304,9002,False,False,0.3422,1517360312
514205744,9003,False,False,0.3324,1517349071
814431222,9003,False,False,0.3152,1517361109
1602385445,1700,False,False,0.2982,1517301617
717477580,9003,False,False,0.2899,1517356383
290567501,1700,False,False,0.2834,1517308488
7315948,9002,False,False,0.2779,1517371174
383542185,9003,False,False,0.2685,1517343014
4310130,9003,False,False,0.2549,1517345386
1490603643,9002,False,False,0.2309,1517314719
1115226456,9002,False,False,0.2292,1517302095
1257146314,9002,False,False,0.2116,1517307984
360944582,9002,False,False,0.2032,1517351344
752170829,9003,False,False,0.2022,1517357651
853229413,9003,False,False,0.1995,1517363432
879460760,9003,False,False,0.1875,1517364802
2975613785,9003,False,False,0.1869,1517333081
511955881,9002,False,False,0.1708,1517362582
2944248933,1700,False,False,0.1685,1517308860
97381874,9002,False,False,0.1668,1517383383
630115745,9002,False,False,0.1597,1517368274
987321130,9002,False,False,0.1572,1517383896
1209709817,9003,False,False,0.1499,1517304327
85521892,9002,False,False,0.1418,1517377451
1114272929,9003,False,False,0.1367,1517301807
978985332,9003,False,False,0.1338,1517368635
2550087130,9002,False,False,0.1329,1517332689
1265345788,9002,False,False,0.132,1517308599
2026520265,9003,False,False,0.1271,1517318114
1462577855,9002,False,False,0.1243,1517313993
3129303072,9002,False,False,0.1223,1517345945
1013600590,9002,False,False,0.1216,1517298645
602303777,9002,False,False,0.1213,1517367204
497938124,9002,False,False,0.1132,1517361109
911570931,9002,False,False,0.1105,1517379758
571792577,9002,False,False,0.1082,1517365369
2432814842,1700,False,False,0.1081,1517305528
992275167,9001,False,False,0.1072,1517348024
83647374,9001,False,False,0.1049,1517342930
80840272,9003,False,False,0.103,1517360633
479109341,9001,False,False,0.1011,1517332678
272091307,1700,False,False,0.0972,1517307040
1370093578,9002,False,False,0.0961,1517311733
1352528138,9002,False,False,0.0954,1517311159
154587983,9002,False,False,0.0948,1517315750
284077345,9001,False,False,0.094,1517319741
271530655,9002,False,False,0.0904,1517335914
1013177362,9002,False,False,0.0901,1517298415
465777877,9002,False,False,0.0893,1517358824
1351366670,9002,False,False,0.0867,1517310953
2528705146,9003,False,False,0.0844,1517324984
872097837,9001,False,False,0.083,1517344539
114979393,9001,False,False,0.082,1517300608
1113708065,9003,False,False,0.078,1517301570
994072669,9001,False,False,0.0765,1517348302
3468104914,9002,False,False,0.0764,1517350100
1083735409,9003,False,False,0.0758,1517300356
757093951,9002,False,False,0.0741,1517373570
1041542322,9003,False,False,0.0735,1517298540
2631742486,1700,False,False,0.0704,1517306455
1307847055,9003,False,False,0.0678,1517307040
261006953,9002,False,False,0.0667,1517333811
565133916,9002,False,False,0.0667,1517364954
8012686,9002,False,False,0.0657,1517375686
2028473969,9001,False,False,0.0643,1517309919
2669300597,9002,False,False,0.0638,1517334753
451656110,9002,False,False,0.063,1517357780
8666016,9003,False,False,0.063,1517364165
188298001,9002,False,False,0.0624,1517322105
138380090,9002,False,False,0.0614,1517312138
594264887,9003,False,False,0.0612,1517352991
1851716016,9002,False,False,0.0609,1517321638
157244110,9003,False,False,0.0602,1517311448
1569576654,9003,False,False,0.0596,1517311160
626555335,9001,False,False,0.0582,1517336619
2585672472,9003,False,False,0.0558,1517326289
